"ensembl_gene_id" 	 "hgnc_symbol" 	 "external_gene_name" 	 "chromosome_name" 	 "start_position" 	 "end_position" 	 "transcript_count" 	 "gene_biotype"
"1" 	 "ENSG00000000938" 	 "FGR" 	 "FGR" 	 "1" 	 27612064 	 27635277 	 7 	 "protein_coding"
"2" 	 "ENSG00000001460" 	 "STPG1" 	 "STPG1" 	 "1" 	 24356999 	 24416934 	 12 	 "protein_coding"
"3" 	 "ENSG00000001461" 	 "NIPAL3" 	 "NIPAL3" 	 "1" 	 24415794 	 24472976 	 7 	 "protein_coding"
"4" 	 "ENSG00000004455" 	 "AK2" 	 "AK2" 	 "1" 	 33007940 	 33080996 	 15 	 "protein_coding"
"5" 	 "ENSG00000004487" 	 "KDM1A" 	 "KDM1A" 	 "1" 	 23019443 	 23083689 	 6 	 "protein_coding"
"6" 	 "ENSG00000007923" 	 "DNAJC11" 	 "DNAJC11" 	 "1" 	 6634168 	 6701924 	 11 	 "protein_coding"
"7" 	 "ENSG00000008128" 	 "CDK11A" 	 "CDK11A" 	 "1" 	 1702730 	 1724324 	 23 	 "protein_coding"
"8" 	 "ENSG00000008130" 	 "NADK" 	 "NADK" 	 "1" 	 1751232 	 1780457 	 17 	 "protein_coding"
"9" 	 "ENSG00000009724" 	 "MASP2" 	 "MASP2" 	 "1" 	 11026523 	 11047233 	 4 	 "protein_coding"
"10" 	 "ENSG00000009780" 	 "FAM76A" 	 "FAM76A" 	 "1" 	 27725979 	 27763122 	 7 	 "protein_coding"
"11" 	 "ENSG00000011007" 	 "ELOA" 	 "ELOA" 	 "1" 	 23743155 	 23762059 	 4 	 "protein_coding"
"12" 	 "ENSG00000011009" 	 "LYPLA2" 	 "LYPLA2" 	 "1" 	 23790970 	 23795539 	 10 	 "protein_coding"
"13" 	 "ENSG00000011021" 	 "CLCN6" 	 "CLCN6" 	 "1" 	 11806096 	 11843144 	 8 	 "protein_coding"
"14" 	 "ENSG00000020129" 	 "NCDN" 	 "NCDN" 	 "1" 	 35557473 	 35567274 	 6 	 "protein_coding"
"15" 	 "ENSG00000020633" 	 "RUNX3" 	 "RUNX3" 	 "1" 	 24899511 	 24965121 	 5 	 "protein_coding"
"16" 	 "ENSG00000025800" 	 "KPNA6" 	 "KPNA6" 	 "1" 	 32108038 	 32176568 	 4 	 "protein_coding"
