"external_gene_name"	"length"	"biotype"	"protein_coding"	"antisense"	"processed_pseudogene"	"transcribed_processed_pseudogene"	"X3prime_overlapping_ncRNA"	"lincRNA"	"retained_intron"	"sense_intronic"	"sense_overlapping"	"miRNA"	"piRNA"	"rRNA"	"siRNA"	"snRNA"	"snoRNA"	"tRNA"	"vaultRNA"	"macro_lncRNA"	"bidlncRNA"
"gen1 "	" FGR "	23213	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen2 "	" STPG1 "	59935	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen3 "	" NIPAL3 "	57182	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen4 "	" AK2 "	73056	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen5 "	" KDM1A "	64246	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen6 "	" DNAJC11 "	67756	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7 "	" CDK11A "	21594	" protein_coding "	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen8 "	" NADK "	29225	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen9 "	" MASP2 "	20710	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen10 "	" FAM76A "	37143	" protein_coding "	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen11 "	" ELOA "	18904	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen12 "	" LYPLA2 "	4569	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen13 "	" CLCN6 "	37048	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen14 "	" NCDN "	9801	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen15 "	" RUNX3 "	65610	" protein_coding "	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen16 "	" KPNA6 "	68530	" protein_coding "	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"gen17 "	" TNFRSF1B "	42225	" protein_coding "	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"gen18 "	" FBXO42 "	105615	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen19 "	" PQLC2 "	16974	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen20 "	" THAP3 "	10720	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen21 "	" VPS13D "	282015	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"gen22 "	" H6PD "	36562	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen23 "	" VAMP3 "	10163	" protein_coding "	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"gen24 "	" PER3 "	60857	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen25 "	" AKR7A2 "	8181	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen26 "	" MRTO4 "	8589	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen27 "	" KIF1B "	170798	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen28 "	" SZRD1 "	45570	" protein_coding "	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen29 "	" PITHD1 "	9827	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen30 "	" CROCC "	232706	" protein_coding "	1	0	1	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0
"gen31 "	" PIGV "	10926	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen32 "	" PTPRU "	90297	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen33 "	" SNRNP40 "	37214	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen34 "	" SPEN "	92596	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen35 "	" KCNAB2 "	109727	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen36 "	" CDC42 "	40319	" protein_coding "	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"gen37 "	" ENO1 "	18250	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen38 "	" ARHGEF10L "	158039	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen39 "	" EIF4G3 "	370596	" protein_coding "	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen40 "	" CAPZB "	146763	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen41 "	" GNB1 "	105832	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen42 "	" SDF4 "	15123	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen43 "	" TP73 "	83681	" protein_coding "	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen44 "	" CROCCP3 "	31821	" transcribed_unprocessed_pseudogene "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen45 "	" PLOD1 "	41333	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen46 "	" EIF3I "	9676	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen47 "	" COL16A1 "	52072	" protein_coding "	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen48 "	" TXLNA "	18599	" protein_coding "	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"gen49 "	" ASAP3 "	56005	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen50 "	" SLC9A1 "	68166	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen51 "	" NUDC "	46624	" protein_coding "	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen52 "	" MUL1 "	8713	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen53 "	" USP48 "	105308	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen54 "	" ACOT7 "	130122	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen55 "	" DVL1 "	14074	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen56 "	" DNAJC16 "	65566	" protein_coding "	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen57 "	" MORN1 "	70454	" protein_coding "	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"gen58 "	" CEP104 "	45133	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen59 "	" WRAP73 "	21994	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen60 "	" ICMT "	14779	" protein_coding "	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen61 "	" RPL22 "	28120	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen62 "	" PHF13 "	10348	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen63 "	" ERRFI1 "	21904	" protein_coding "	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen64 "	" PARK7 "	31214	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen65 "	" SRSF4 "	34244	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen66 "	" MECR "	38069	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen67 "	" HDAC1 "	41549	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen68 "	" S100PBP "	42112	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen69 "	" RNF19B "	28240	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen70 "	" TRIM62 "	36657	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen71 "	" DLGAP3 "	64149	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen72 "	" SFPQ "	16770	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen73 "	" SRM "	5440	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen74 "	" FBXO2 "	18767	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen75 "	" FBXO6 "	10230	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen76 "	" MAD2L2 "	17170	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen77 "	" KIAA2013 "	6837	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen78 "	" MFN2 "	33333	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen79 "	" MIIP "	12579	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen80 "	" PRDM2 "	124881	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen81 "	" PLEKHM2 "	50437	" protein_coding "	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen82 "	" ZBTB17 "	34263	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen83 "	" PADI2 "	52674	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen84 "	" SDHB "	35448	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen85 "	" MFAP2 "	6333	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen86 "	" IGSF21 "	270737	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen87 "	" KIF17 "	54003	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen88 "	" ECE1 "	128257	" protein_coding "	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen89 "	" HMGCL "	36735	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen90 "	" GALE "	5205	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen91 "	" ID3 "	1876	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen92 "	" RCAN3 "	38689	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen93 "	" SYF2 "	9823	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen94 "	" RSRP1 "	95976	" protein_coding "	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen95 "	" STMN1 "	22810	" protein_coding "	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen96 "	" MTFR1L "	14302	" protein_coding "	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen97 "	" MAN1C1 "	168739	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen98 "	" RPS6KA1 "	45269	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen99 "	" DHDDS "	39012	" protein_coding "	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen100 "	" ARID1A "	88874	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen101 "	" RPA2 "	23222	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen102 "	" PPP1R8 "	20898	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen103 "	" STX12 "	51269	" protein_coding "	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
"gen104 "	" TAF12 "	53762	" protein_coding "	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen105 "	" UBIAD1 "	22843	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen106 "	" TARDBP "	14076	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen107 "	" TNFRSF8 "	80830	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen108 "	" ADGRB2 "	37776	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen109 "	" ZCCHC17 "	67971	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen110 "	" FABP3 "	11225	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen111 "	" KHDRBS1 "	47021	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen112 "	" TMEM39B "	30835	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen113 "	" TMEM54 "	6844	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen114 "	" ZSCAN20 "	23862	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen115 "	" HNRNPR "	40565	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen116 "	" ZNF436 "	9994	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen117 "	" DNAJC8 "	33569	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen118 "	" AHDC1 "	70396	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen119 "	" IFI6 "	6157	" protein_coding "	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen120 "	" INTS11 "	13106	" protein_coding "	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"gen121 "	" EMC1 "	35888	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen122 "	" PLA2G5 "	63011	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen123 "	" UBR4 "	135770	" protein_coding "	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen124 "	" HP1BP3 "	44662	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen125 "	" CEP85 "	44885	" protein_coding "	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen126 "	" ARHGEF16 "	26687	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen127 "	" LRRC47 "	17946	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen128 "	" SESN2 "	22964	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen129 "	" ATP5IF1 "	10797	" protein_coding "	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen130 "	" MED18 "	6965	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen131 "	" THEMIS2 "	14142	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen132 "	" UBE4B "	148407	" protein_coding "	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen133 "	" CASZ1 "	160046	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen134 "	" ACAP3 "	17233	" protein_coding "	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen135 "	" C1orf159 "	34543	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen136 "	" NPHP4 "	129662	" protein_coding "	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"gen137 "	" FBXO44 "	8952	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen138 "	" RSG1 "	5462	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen139 "	" CASP9 "	35702	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen140 "	" EPHB2 "	210661	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen141 "	" SRRM1 "	41551	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen142 "	" PUM1 "	134485	" protein_coding "	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen143 "	" SPOCD1 "	25629	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen144 "	" YARS "	42916	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen145 "	" PHC2 "	107429	" protein_coding "	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen146 "	" SLC2A5 "	53371	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen147 "	" RERE "	465246	" protein_coding "	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"gen148 "	" MMEL1 "	42351	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen149 "	" PRDM16 "	369453	" protein_coding "	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen150 "	" EPHA2 "	31750	" protein_coding "	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen151 "	" ARHGEF19 "	14755	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen152 "	" EFHD2 "	20448	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen153 "	" PEX14 "	158470	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen154 "	" PGD "	21552	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen155 "	" SH3BGRL3 "	2346	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen156 "	" CNKSR1 "	12483	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen157 "	" RPL11 "	5093	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen158 "	" ZNF593 "	1002	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen159 "	" KIAA0319L "	124460	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen160 "	" MAP3K6 "	11708	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen161 "	" FCN3 "	5712	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen162 "	" GPN2 "	14164	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen163 "	" SYTL1 "	11917	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen164 "	" WDTC1 "	74117	" protein_coding "	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen165 "	" NBPF3 "	44877	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen166 "	" HSPG2 "	115052	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen167 "	" TINAGL1 "	11201	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen168 "	" AZIN2 "	39426	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen169 "	" ZMYM4 "	153091	" protein_coding "	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"gen170 "	" PLCH2 "	79550	" protein_coding "	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen171 "	" NECAP2 "	19406	" protein_coding "	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen172 "	" FAM213B "	4978	" protein_coding "	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen173 "	" TNFRSF14 "	9743	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen174 "	" PANK4 "	18095	" protein_coding "	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen175 "	" PEX10 "	9833	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen176 "	" RER1 "	13669	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen177 "	" SKI "	81424	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen178 "	" LDLRAP1 "	25306	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen179 "	" PAFAH2 "	38390	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen180 "	" TRIM63 "	17132	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen181 "	" UBXN11 "	37035	" protein_coding "	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen182 "	" TPRG1L "	5125	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen183 "	" XKR8 "	8634	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen184 "	" EYA3 "	118352	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen185 "	" WASF2 "	85932	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen186 "	" FAM46B "	7816	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen187 "	" RNF207 "	15824	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen188 "	" GPR153 "	13629	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen189 "	" NBL1 "	61477	" protein_coding "	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen190 "	" CDA "	29960	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen191 "	" PINK1 "	18056	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen192 "	" EPB41 "	232955	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen193 "	" C1QC "	4480	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen194 "	" ATP13A2 "	25970	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen195 "	" ALDH4A1 "	31351	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen196 "	" DFFA "	16004	" protein_coding "	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen197 "	" CCDC28B "	5001	" protein_coding "	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen198 "	" IQCC "	3026	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen199 "	" TMEM234 "	7887	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen200 "	" BSDC1 "	29628	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen201 "	" ZBTB8A "	66512	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen202 "	" ATAD3B "	26079	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen203 "	" SSU72 "	33196	" protein_coding "	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen204 "	" UBE2J2 "	19976	" protein_coding "	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen205 "	" ZNF362 "	44174	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen206 "	" FNDC5 "	10214	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen207 "	" NOL9 "	33188	" protein_coding "	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen208 "	" KLHL21 "	23883	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen209 "	" GMEB1 "	50621	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
